Question|Answer
What modeling skills are expected from a Science and Systems Engineering graduate?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering must be able to model physical phenomena by implementing the knowledge acquired in Mathematics, Physics and Chemistry. She must also be able to apply a systemic approach to proposed solutions to problems through implementing the knowledge acquired in Systems Logic, Systems Theory and Economics.
What is a Science and Systems Engineering graduate expected to be able to do in terms of professional ethics?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering is expected to apply professional knowledge protected by professional ethics.
What auditing skills are expected of a Science and Systems Engineering graduate?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering must be able to apply knowledge of solving IT solutions that are auditable, focused mainly on audit bases.
Where can I find the Graduation Profile of the Science and Systems Engineering Student document?|You can find it at: "https://drive.google.com/file/d/1RKCsSqFynhEcc8_6nTPoZO5352p6Pbqo/view?usp=sharing"
Where can I find the Labor Registration Form template?|You can find it at: "https://docs.google.com/spreadsheets/d/1VfNAKHwBQWNJLmeyXT1s2JvSwbTb7fgd/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Teacher Registration Form template?|You can find it at: "https://docs.google.com/spreadsheets/d/14zKdocbwLX3TF3p-6bw5tavYyAMMcxak/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Tracking Ticket template?|You can find it at: "https://docs.google.com/spreadsheets/d/1Je_ME8gQuwHIOyhGVQAi0a_5qrDCANkH/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Teacher Letter or Boss Letter Home template?|You can find it at: "https://docs.google.com/document/d/1GzvlNod6Wr_HhvZBUaoVMWnSSeTk-KfO/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the ECYS logo or DTT logo|You can find it at: "https://drive.google.com/file/d/10yTUtgg-OFyPvN3-9Bcc2Mbsz8MK6555/view?usp=sharing"
What is the procedure to organize the conference deliverable in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. The procedure involves the creation of a conference approval letter that will be signed only by the DTT coordinator to expedite the process. This letter must be uploaded by the practitioner. The format of the letter should not be modified, only add personal information and the teacher's information. The letter must be sent to dtt.ecys@gmail.com for the corresponding signature before uploading it to DTT.
What email should be used in the teaching internship process within the DTT project?|According to the Online Conference Procedure document. You must use the email dtt.ecys@gmail.com.
Who must sign the conference approval letter in the teaching internship process within the DTT project?|According to the Online Conference Procedure document. The conference approval letter will be signed only by the DTT coordinator.
What should be done after obtaining a signature on the conference approval letter?|According to the Online Conference Procedure document. After obtaining the signature on the conference approval letter, the practitioner must upload said letter to DTT.
What is the procedure to organize the conference deliverable in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. The procedure involves sending an email to request the signature of the letter or the conference report. For the Vo.Bo letter from the conference, the subject of the email must be “Signature conference letter card Name Course Section” and the message must be “Vo.Bo is requested for approval letter online conference card Name-course-sec” . For the Vo.Bo of the conference report, the subject of the email must be “Signature Conference Report card Course Name Section” and the message must be “The vo.bo is requested to upload the online conference report card Course-Name-sec” . This procedure aims to standardize and facilitate the publication and control of document signing.
How should the email be formatted to request a signature for the conference letter?|According to the Online Conference Procedure document. The subject of the email must be “Signature letter conference card Name Course Section” and the message must be “Vo.Bo is requested for approval letter online conference card Name-course-sec”.
What should be placed in the header of the conference report signature sheet?|According to the Online Conference Procedure document. In the header of the signature sheet of the conference report, the card, name, course and section must be placed.
What is the correct file name format for the letter and report in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. For the letter, the file name format must be “card-course-name-sec-letter.pdf”. For the conference report, the file name format should be “card-course-name-sec-conference-report.pdf”.
To whom should the email be sent with the speaker's proposal and CV in the teaching internship process within the DTT project?|According to the Online Conference Procedure document. The email with the speaker's proposal and CV must be sent to the course teacher.
To whom should I send a copy of the email with the speaker proposal and CV?|According to the Online Conference Procedure document. A copy of the email with the speaker's proposal and CV must be sent to the DTT coordinator.
How should the conference poster be sent to be published on the ECYS networks?|According to the Online Conference Procedure document. The conference poster must be sent to dtt.ecys@gmail.com in image format (jpg, tif, png).
How should the publication of the conference poster be requested in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. To request the publication of the conference poster, you must send an email with the subject “Publish Conference Poster Sec Course Name Card.” The email message must include the topic of the conference, the speaker, the place (medium), the conference link, the date, the time and the poster image must be attached in jpg, png or tif format. The name of the poster file must follow the format “card-Name-course-sec-Poster”.
What happens if the poster publication message with the requested data is not sent?|According to the Online Conference Procedure document. If the poster publication message is not sent with the requested data, the poster will not be published.
Should the professional's title be placed on the conference poster?|According to the Online Conference Procedure document. The title of the professional should not be placed on the conference poster unless you have a copy of the active member. The exception is Ecys teachers, who by default have an active member to teach classes.
What type of photos should be obtained for the conference report in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. At least two selfies must be obtained where the tutor can be seen next to his computer and the screen where the conference is taking place.
How can I get the attendance list of conference participants?|According to the Online Conference Procedure document. Attendance will be the response through chat or email from the participants, asking them to send a response about their attendance with the response message: name card present name_conference. This can be a chat response thread at the conference or by email.
How should the conference survey be obtained?|According to the Online Conference Procedure document. The survey must be carried out at the end of the conference using an online form that participants must complete. The results of this survey should be added to the report for response statistics.
What should be added to the report to validate that it is a valid conference?|According to the Online Conference Procedure document. The Invitation Link to the conference and the link where the conference was recorded on YouTube must be added to the report.
Who will sign the conference report in the teaching practice process within the DTT project?|According to the Online Conference Procedure document. To expedite the process, the conference report will only be signed by the DTT coordinator.
What information should be added to the header of the page where the DTT coordinator's signature is requested on the conference report?|According to the Online Conference Procedure document. In the header of the page where the signature of the DTT coordinator is requested, the student's ID, name, course, semester and year must be added.
When can documents (conference letter, conference report) be uploaded to DTT?|According to the Online Conference Procedure document. Documents can be uploaded to DTT once they have been signed and scanned by the DTT Coordinator. However, documents for DTT signature will not be received three days before the DTT increase due date.
What is needed to be able to give a diploma to lecturers during the current pandemic situation?|According to the Online Conference Procedure document. In order to give a diploma to lecturers, it is mandatory to have a copy of the video of the conference, in which the lecturer indicates the date and time in which his lecture begins, the topic of the lecture and the course he is supporting, and indicate USAC.
How many attendees should conferences have?|According to the Online Conference Procedure document. Conferences must have a minimum of 10 attendees, except for courses that have fewer than 10 students enrolled.
Where can I find the Online Conference Procedure document?|You can find it at: "https://drive.google.com/file/d/11lXN9CbzHADMKPBACACc-d32P1KR4NnV/view?usp=sharing"
Where can I find a guide for preparing an article?|You can find it at: "https://drive.google.com/drive/folders/1g3WNCfDKGGTkSpywSGokqQgiA0ZuV6A3?usp=sharing"
Where can I find an example of how to prepare an article?|You can find it at: "https://drive.google.com/drive/folders/1g3WNCfDKGGTkSpywSGokqQgiA0ZuV6A3?usp=sharing"
Where can I find an example of an article?|You can find it at: "https://drive.google.com/drive/folders/1g3WNCfDKGGTkSpywSGokqQgiA0ZuV6A3?usp=sharing"
Where can I find the general data template|You can find it at: "https://drive.google.com/drive/folders/1g3WNCfDKGGTkSpywSGokqQgiA0ZuV6A3?usp=sharing"
How do I prepare the article?|For the preparation of the article there are guides called "example of an article".
Where can I find information about the sections and functionalities of the DTT system?|This information can be found in the document “Practitioner's Manual”.
How can I learn about activity logging and metrics in the DTT system?|This information can be found in the document “Practitioner's Manual”.
Where can I get details on how to create, edit and view reports in the DTT system?|This information can be found in the document “Practitioner's Manual”.
How can I access my personal information and assignments in the DTT system?|This information can be found in the document “Practitioner's Manual”.
Where can I find information about creating events and accessing resources in the DTT system?|This information can be found in the document “Practitioner's Manual”.
How can I submit reports for grading in the DTT system?|This information can be found in the document “Practitioner's Manual”.
Where can I find the Practitioner's Manual document?|You can find it at: "https://drive.google.com/file/d/13jgNQVItie-rQQSEyqUuSfH2B7ITmeeG/view?usp=sharing"
What is the main objective of the project “Development of Technology Transfer (DTT) in the School of Engineering in Sciences and Systems of the Faculty of Engineering, USAC?|According to the DTT Project document. The main objective is to create a figure to manage the final practices of the School of Engineering in Sciences and Systems, in such a way that the students who participate can participate in various areas such as academics, research, communication, development, innovation and infrastructure.
What are the areas in which students can participate in the DTT project?|According to the DTT Project document. Students can participate in the following areas: Academic area (as tutors for Systems courses), Research area (Coecys), Communication Area (Digital Magazine Systems School), Development Area (Calculation Center), Innovation Area (Innovative Projects), and Infrastructure Line (Saesap, ITCOe, Rectoria Project).
What activities are carried out in the Innovation Area of ​​the DTT project?|According to the DTT Project document. In the Innovation Area of ​​the DTT project, students can participate in Innovative Projects.
What is done in the Infrastructure Line of the DTT project?|According to the DTT Project document. In the Infrastructure Line of the DTT project, students can participate in Saesap, ITCOe, and the Rectoria Project.
What is the “Development of Technology Transfer (DTT) project of the School of Engineering in Sciences and Systems of the Faculty of Engineering, USAC?|According to the DTT Project document. The DTT project is the link between the Final Practice university students of the School of Science and Systems Engineering and the world of work, research, entrepreneurship and the state. This link allows students to learn about elements of the labor market and technological needs in Guatemala.
How does the DTT project contribute to the communication and dissemination of research and innovative projects?|According to the DTT Project document. The DTT project generates a communication channel to socialize and disseminate the research and innovative projects developed at the School of Engineering in Sciences and Systems, through the publication of articles prepared by the students on the WEB page and on the Fan Page intended for this project.
How does the DTT project strengthen the link between the authorities of the School of Science and Systems Engineering, the teachers, and the students?|According to the DTT Project document. The DTT project will strengthen the link between the authorities of the School of Engineering in Sciences and Systems, the teachers, the final practice students, the intermediate practice students and the different research and development units of the Faculty of Engineering.
Where can I find the DTT Project document?|You can find it at: "https://drive.google.com/file/d/1G7QPXk5kMGWobvm_TSJdFqe9EgPZ4JB7/view?usp=sharing"
What is the format of the monthly DTT report?|The format is generated by DTT, there is an example called "DTT monthly report example".
Is there any example of the monthly DTT report?|Yes, there is an example of the monthly DTT report
Where can I find the example of the DTT monthly report?|You can find it at: "https://drive.google.com/file/d/1XzYQ4Qw5rZJajzuk1-iMoKcnoVvcmglS/view?usp=sharing"
Where can I find information about the Ethical and Professional Compliance Agreement for Teaching Practice?|This information can be found in the "DTT PROJECT ETHICAL AND PROFESSIONAL PRACTICE COMPLIANCE SLA" template.
What document establishes the professional competencies and ethical values ​​for the development of teaching practice?|This information can be found in the "DTT PROJECT ETHICAL AND PROFESSIONAL PRACTICE COMPLIANCE SLA" template.
What document does the University of San Carlos rely on for student evaluation and promotion?|This information can be found in the "DTT PROJECT ETHICAL AND PROFESSIONAL PRACTICE COMPLIANCE SLA" template.
Where can I find the standards of teaching practice for the School of Sciences and Systems?|This information can be found in the "DTT PROJECT ETHICAL AND PROFESSIONAL PRACTICE COMPLIANCE SLA" template.
Where can I find the DTT Project Practice Ethical and Professional Compliance SLA template?|You can find it at: "https://docs.google.com/document/d/1u3RyNmNcK5InWZfbD7KAWJdPWyWO8QXN/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
How do I create the weighting of a course in DTT?|It is created on the DTT platform, for this there is an example called "example of how to create the weighting in DTT".
Is there an example of how to create the DTT weighting?|Yes, there is an example of how to create the weighting
Where can I find the example of how to create the weighting in DTT?|You can find it at: "https://drive.google.com/file/d/1DwDQJtyBlnyUNS2US3o1H7BqqqHYeCPz/view?usp=sharing"
What is the format of the conference report?|The format is according to the conference report template, for the format there is an example called "example of conference report format".
Is there an example of the conference report format?|Yes, there is an example of the conference report format
Where can I find the example of the conference report format?|You can find it at: "https://drive.google.com/file/d/1nDPESHsXKe-xca2rEH_f-sBQEY3fPmXD/view?usp=sharing"
What is the purpose of the laboratories at the School of Sciences and Systems?|This information can be found in the “ANTI-PLAGIARIUM AGREEMENT” template.
What commitments must a student make in these laboratories?|This information can be found in the “ANTI-PLAGIARIUM AGREEMENT” template.
What consequences can failure to comply with this agreement bring?|This information can be found in the “ANTI-PLAGIARIUM AGREEMENT” template.
What are the different types of plagiarism mentioned in the agreement and what penalties do they carry?|This information can be found in the “ANTI-PLAGIARIUM AGREEMENT” template.
What happens if one student commits outright plagiarism without the other student's consent?|This information can be found in the “ANTI-PLAGIARIUM AGREEMENT” template.
Where can I find the Anti-Plagiarism Agreement document?|You can find it at: "https://drive.google.com/file/d/139wNNk4K1KzOQN-zyeMowKzOvaByhZK5/view?usp=sharing"
Is there a template for mark sheets?|Yes, you can find it as "Grade Sheet template"
What are grading sheets used for?|They serve to create a weighting, either for practices or projects during the laboratory, which will serve as the standard for the grade. These sheets must be reviewed and confirmed by the professor in charge of the master class.
Where can I find the Grade Sheet template?|You can find it at: "https://docs.google.com/document/d/15SQ0FQfRMe2FG172IBpdSFKKkQq-Vu1s/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find information on how to create and manage quizzes for DTT tutors and lecturers?|This information can be found in the document “Quiz Module User Manual”.
What document details the scheduling and consultation of DTT exams?|You can find this information in the document “Quiz Module User Manual”.
Where can I learn about the different types of questions that can be used in the DTT quiz module?|You can find this information in the document “Quiz Module User Manual”.
How can I obtain information about grading and grade reporting in the DTT quiz module?|You can find this information in the document “Quiz Module User Manual”.
Where can I find a guide to navigating the main menu of the DTT quiz module?|You can find this information in the document “Quiz Module User Manual”.
Where can I find the User Manual document for the quiz module?|You can find it at: "https://drive.google.com/file/d/1BkaidWtKfp_QHSUSzqWr3WipWSbvCN1k/view?usp=sharing"
What type of vocabulary should an academic tutor use according to the behavior manual?|According to the Behavior Manual document. An academic tutor must use professional vocabulary and avoid words that may offend students and/or anyone entering the class.
What is the tutor's responsibility regarding inappropriate student behavior?|According to the Behavior Manual document. The tutor must limit inappropriate behavior on the part of the students, ensuring a respectful, friendly but professional environment.
What environment should the tutor ensure in the class?|According to the Behavior Manual document. The tutor must ensure a respectful, friendly but professional environment.
What actions should a tutor take if they observe inappropriate behavior in class?|According to the Behavior Manual document. The tutor must limit these behaviors to ensure a respectful, friendly but professional environment.
Why is it important for the tutor to use professional vocabulary?|According to the Behavior Manual document. It is important to avoid offending students and/or anyone who enters the class and maintain an environment of respect and professionalism.
What is sought to achieve by limiting inappropriate behavior on the part of the tutor?|According to the Behavior Manual document. The aim is to ensure an environment of respect, friendship and professionalism within the class.
How long should the tutor stay in the laboratory class?|According to the Behavior Manual document. The tutor must remain in the laboratory class for the time established according to the DSI regulations (104).
What should the tutor leave aside during laboratory class time?|According to the Behavior Manual document. The tutor must leave aside personal or work activities of another institution or agency.
Are there exceptions so that the tutor can attend to personal or work activities during class? If so, what are they?|According to the Behavior Manual document. Yes, there are exceptions in case of emergencies justifiable before the corresponding entities, using the official means of the institution.
What process must justifiable emergencies follow to be accepted?|According to the Behavior Manual document. Justifiable emergencies must be submitted to an evaluation process carried out by the coordination of academic tutors for endorsement.
What should a tutor do if a personal emergency arises during lab class?|According to the Behavior Manual document. The tutor must justify the emergency before the corresponding entities using the official means of the institution and undergo an evaluation process by the coordination of academic tutors for endorsement.
What responsibility does the tutor have in relation to the topics to be discussed during laboratory hours?|According to the Behavior Manual document. The tutor has the responsibility of ensuring that the topics to be covered in the laboratory hours correspond to the content of the course and provide knowledge to the students.
Why is it important that the topics covered in the laboratory correspond to the content of the course?|According to the Behavior Manual document. It is important because it ensures that students receive relevant and useful knowledge that is aligned with the course objectives.
What should the tutor guarantee regarding the content of the topics in the laboratories?|According to the Behavior Manual document. The tutor must ensure that the topics covered in the laboratories correspond to the content of the course and are educational for the students.
What types of topics should not be included in the laboratory schedules according to the manual?|According to the Behavior Manual document. Topics that do not correspond to the course content or that do not provide knowledge to students should not be included.
What is the main objective of the topics covered in laboratory hours?|According to the Behavior Manual document. The main objective is to provide knowledge to students that is relevant and aligned with the course content.
How should the laboratory content be used according to the behavior manual?|According to the Behavior Manual document. The laboratory content must be used correctly, developing the necessary examples so that students understand all the topics.
What is the goal of developing examples in the laboratory?|According to the Behavior Manual document. The goal is to ensure that students understand all the topics covered in the laboratory.
What needs to be done so that students understand all the laboratory topics?|According to the Behavior Manual document. Necessary examples must be developed to help understand the topics.
What does the correct use of laboratory content entail?|According to the Behavior Manual document. It involves developing the necessary examples that allow students to fully understand the topics covered.
What is the tutor's responsibility regarding the examples in the laboratory?|According to the Behavior Manual document. The tutor has the responsibility of developing examples that facilitate the students' understanding of all topics.
What type of activities should be planned in the DTT according to the behavior manual?|According to the Behavior Manual document. Activities such as assessments, worksheets, and laboratory exercises must be planned in the DTT.
What tool should be used to present planned activities during attendance audits?|According to the Behavior Manual document. A shared screen presentation should be used to display planned activities during attendance audits.
What information should the presentation used for planned activities include?|According to the Behavior Manual document. The presentation must include the name of the activity, the start and end time and minute, the duration of the activity, the number of students doing the activity, and a list of students identified by ID, first and last name.
How should the information of the students participating in the planned activities be recorded?|According to the Behavior Manual document. Student information should be obtained through chat and pasted into the presentation.
Why is it important to use a presentation during planned laboratory activities?|According to the Behavior Manual document. It is important to ensure that activities are planned and authorized, and that attendance audits do not affect the effective time of activities.
What official document is provided for use in planned activity presentations?|According to the Behavior Manual document. An official template is provided for use in planned activity presentations.
What needs to be done at the beginning of the laboratory to confirm that the recording corresponds to the indicated day?|According to the Behavior Manual document. It is necessary to use a shared screen presentation when starting the lab.
What is the purpose of using a shared screen presentation at the beginning of the lab?|According to the Behavior Manual document. The purpose is to confirm that the recording corresponds to the indicated day.
What information should the presentation used at the beginning of the laboratory include?|According to the Behavior Manual document. The presentation must include the date, hour and minute of the start of the laboratory, the name of the course and section, and the name of the tutor.
Why is date and time information important in the initial lab presentation?|According to the Behavior Manual document. It is important to verify and confirm that the recording corresponds to the correct day and time.
What should be displayed on the screen when starting the lab?|According to the Behavior Manual document. A presentation must be shown that includes the start date, hour and minute, the name of the course and section, and the name of the tutor.
How should academic tutors address students?|According to the Behavior Manual document. Academic tutors must address students in a professional manner, assuming their role assigned by the institution.
What role should academic tutors assume when interacting with students?|According to the Behavior Manual document. Academic tutors must assume the role of academic tutor assigned by the institution.
What should academic tutors separate in their interaction with students?|According to the Behavior Manual document. Academic tutors must separate the work area from the personal area in their interaction with students.
Why is it important for tutors to maintain a professional behavior with students?|According to the Behavior Manual document. It is important to maintain ethics and professionalism in the educational environment, ensuring a respectful and appropriate environment for learning.
What does assuming the role of academic tutor entail for tutors?|According to the Behavior Manual document. It involves addressing students in a professional manner, maintaining the separation between work and personal life, and fulfilling the responsibilities assigned by the institution.
What types of activities should academic tutors carry out?|According to the Behavior Manual document. Academic tutors must carry out activities corresponding to the course topic and activities authorized by the institution, such as DTT conferences and grading.
What does DTT mean in the context of tutor activities?|According to the Behavior Manual document. DTT refers to the conferences and activities planned and authorized by the institution that tutors must carry out.
Can tutors carry out activities not authorized by the institution?|According to the Behavior Manual document. No, tutors must only carry out activities that are authorized by the institution.
What should an academic tutor guarantee when carrying out an activity?|According to the Behavior Manual document. An academic tutor must guarantee that the activity corresponds to the course topic and that it is authorized by the institution.
What types of specific activities can the tasks of academic tutors include?|According to the Behavior Manual document. Academic tutors' tasks may include DTT lectures and marking activities.
How is the effective time counted when spaces for doubts are opened at the end of the laboratory?|According to the Behavior Manual document. The time is counted as effective if activity and interaction between the tutor and the students is noted. Otherwise, it is considered non-effective time.
What should an academic tutor do if a DTT conference ends before the scheduled time?|According to the Behavior Manual document. The tutor must complete the class so as not to affect their effective time.
What happens if there is no interaction between the tutor and the students at the end of a laboratory?|According to the Behavior Manual document. The time is not counted as effective if there is no interaction between the tutor and the students.
What is meant by effective time in the context of a laboratory?|According to the Behavior Manual document. Effective time refers to the time in which there is relevant activity and interaction between the tutor and the students, contributing to learning.
What is the obligation of the academic tutor regarding effective time during DTT conferences?|According to the Behavior Manual document. It is the tutor's obligation to complete the class time in the event that the DTT lecture ends before the scheduled time, to ensure that the effective time is not affected.
What should be established in the activities that require qualification?|According to the Behavior Manual document. Clear grading and weighting parameters must be established.
How should the establishment of qualification parameters be planned?|According to the Behavior Manual document. It must be planned in an established manner on grading sheets endorsed by the teacher.
What is guaranteed when applying what is established in the qualification activities?|According to the Behavior Manual document. The application of what is established is guaranteed to obtain a fair and transparent qualification result.
What should be avoided when setting grading parameters?|According to the Behavior Manual document. You should avoid improvising in front of the students.
What type of materials are necessary for the development of the laboratory topic according to the text?|According to the Behavior Manual document. Depending on the text, presentations, example material and illustrative videos (preferably short) are needed to comply with the content and time frames established by the institution.
Why is it mentioned that videos should have short times?|According to the Behavior Manual document. The videos should have short durations to maintain the students' attention and ensure direct interaction with them during the laboratory class.
Why is there emphasis on the need to avoid recorded classes?|According to the Behavior Manual document. Recorded classes are avoided to ensure direct interaction with students during the laboratory, thus allowing more effective communication and the possibility of answering questions and doubts in real time.
What do you seek to guarantee by having the appropriate material?|According to the Behavior Manual document. By having the appropriate material, we seek to comply with the contents and times established for the laboratory, thus ensuring effective teaching and an optimal learning experience for students.
What is the main purpose of having presentations, example material and illustrative videos?|According to the Behavior Manual document. The main purpose is to facilitate the understanding of laboratory topics and reinforce learning through different visual resources and practical examples.
What aspects should be considered when evaluating student performance according to the text?|According to the Behavior Manual document. Objectivity, truthfulness and responsibility must be considered.
Why is it important to evaluate student performance objectively?|According to the Behavior Manual document. Objective assessment ensures fairness and justice in the assessment process, which helps maintain equity among students.
What does it mean to truthfully evaluate student performance?|According to the Behavior Manual document. It means providing an accurate and honest assessment that accurately reflects students' actual performance, without distortion or bias.
What is the evaluator's responsibility when evaluating student performance?|According to the Behavior Manual document. The evaluator has the responsibility to ensure that the evaluation process is fair, transparent and beneficial to the academic development of students.
What could happen if the evaluation of student performance is not carried out in an objective, truthful and responsible manner?|According to the Behavior Manual document. If assessment is not done properly, it could lead to unfair results, student demotivation, and a negative perception of the education system in general.
What is the purpose of answering students' doubts?|According to the Behavior Manual document. The purpose is to provide clarity and resolve student questions at appropriate times and according to procedures established by the institution.
How are appropriate times determined for answering students' questions?|According to the Behavior Manual document. The appropriate times are established and made official by the institution, following its regulations and policies.
Where should students ask their questions to receive attention?|According to the Behavior Manual document. Questions should be raised in the corresponding forums, which are the channels designated by the institution for interaction and communication between students and educational staff.
How important is the officialization of query response times?|According to the Behavior Manual document. Officialization ensures that students receive care at consistent and predictable times, avoiding confusion and ensuring an organized and effective educational experience.
What is meant by "corresponding forums" in this context?|According to the Behavior Manual document. The "corresponding forums" refer to the spaces designated by the institution for the discussion and resolution of doubts related to academic content, where students can interact with their classmates and professors.
What should all academic tutors ensure in relation to their cameras during the development of a laboratory?|According to the Behavior Manual document. All academic tutors must ensure that their cameras are on during the first 15 minutes of starting and the last 15 minutes before finishing the laboratory development.
Why is it important for tutors to ensure that their camera image is visible in the recording generated during the laboratory?|According to the Behavior Manual document. It is important to ensure that the tutor is present during the development of the laboratory, which is necessary for supervision and quality of teaching. This also helps avoid later justifications or claims.
Who will be responsible for auditing tutors' compliance with camera activation during labs?|According to the Behavior Manual document. The Information Systems Department (DSI) will be responsible for auditing compliance with this requirement during the laboratory attendance audit process.
What can tutors do to avoid justifications related to activating cameras during labs?|According to the Behavior Manual document. Tutors can test in advance to ensure that their camera image is visible in the generated recording, which will help avoid later justifications.
When should cameras be on according to the guidelines for tutors during the development of a laboratory?|According to the Behavior Manual document. The cameras must be on during the first 15 minutes of the start and the last 15 minutes before the end of the laboratory development, according to the guidelines for tutors.
What power does a tutor have in relation to the points in the laboratory program?|According to the Behavior Manual document. A tutor does not have the power to offer points not previously planned in the laboratory program authorized by the course teacher.
Under what circumstances can a tutor offer additional points in a laboratory?|According to the Behavior Manual document. A tutor can only offer additional points in a laboratory if they are previously authorized by the Ecys teacher or director.
What exceptions are allowed regarding the assignment of points in a laboratory?|According to the Behavior Manual document. The only exception allowed is when the Ecys teacher or director authorizes specific cases in the future.
Who must authorize any change in point assignment in a laboratory?|According to the Behavior Manual document. Any change in the assignment of points in a laboratory must be authorized by the course teacher or the Ecys director.
What is the only body that can approve exceptional cases related to the assignment of points in laboratories?|According to the Behavior Manual document. The course teacher or the Ecys director are the only bodies that can approve exceptional cases related to the assignment of points in laboratories.
What is the main objective of the academic tutor in the assigned course?|According to the Behavior Manual document. The main objective is to guarantee that the development of activities leads students to become successful future professionals capable of contributing to the comprehensive development of the country.
What are the students expected to achieve under the academic tutor's care?|According to the Behavior Manual document. Students are expected to become successful professionals and contribute to the comprehensive development of the country.
What is the importance of maintaining the reputation of the academic status of the program?|According to the Behavior Manual document. Maintaining the reputation of the academic status of the course is important to ensure that students benefit from a high-quality education and to maintain the prestige of the educational institution.
How can an academic tutor contribute to the professional success of students?|According to the Behavior Manual document. An academic tutor can contribute to students' professional success by providing guidance, support and resources for their academic and professional development.
Why is the comprehensive development of the country relevant in the context of the academic tutor's work?|According to the Behavior Manual document. It is relevant because the objective is to train professionals who can contribute to the growth and development of the country in various aspects, from economic to social.
