porPregunta|Respuesta
¿Cómo se debe enviar el afiche de la conferencia para ser publicado en las redes de ECYS?|Según el documento Procedimiento de Conferencias Online. El afiche de la conferencia debe enviarse al correo dtt.ecys@gmail.com en formato de imagen (jpg, tif, png).
¿Cómo se debe solicitar la publicación del afiche de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. Para solicitar la publicación del afiche de la conferencia, se debe enviar un correo con el asunto “Publicar Afiche conferencia carnet Nombre Curso Sec”. El mensaje del correo debe incluir el tema de la conferencia, el expositor, el lugar (medio), el enlace de la conferencia, la fecha, la hora y se debe adjuntar la imagen del afiche en formato jpg, png o tif. El nombre del archivo del afiche debe seguir el formato “carnet-Nombre-curso-sec-Afiche”.
¿Qué sucede si no se envía el mensaje de publicación del afiche con los datos solicitados?|Según el documento Procedimiento de Conferencias Online. Si no se envía el mensaje de publicación del afiche con los datos solicitados, el afiche no se publicará.
¿Se debe colocar el título del profesional en el afiche de la conferencia?|Según el documento Procedimiento de Conferencias Online. No se debe colocar el título del profesional en el afiche de la conferencia a menos que se tenga una copia del colegiado activo. La excepción son los docentes de Ecys, quienes por defecto tienen un colegiado activo para impartir clases.
¿Qué tipo de fotos se deben obtener para el reporte de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. Se deben obtener al menos dos selfies donde se pueda ver al tutor junto a su computadora y la pantalla donde se esté realizando la conferencia.
¿Cómo se puede obtener la lista de asistencia de los participantes en la conferencia?|Según el documento Procedimiento de Conferencias Online. La asistencia será la respuesta por medio de chat o correo de los participantes, pidiéndoles que envíen respuesta de su asistencia con el mensaje de respuesta: carnet nombre presente Nombre_conferencia. Esto puede ser un hilo de respuestas por chat en la conferencia o por correo.
¿Cómo se debe obtener la encuesta de la conferencia?|Según el documento Procedimiento de Conferencias Online. Se debe realizar la encuesta al final de la conferencia por medio de un formulario online que deben contestar los participantes. Los resultados de esta encuesta deben agregarse al informe para las estadísticas de respuesta.
¿Qué se debe agregar al informe para validar que es una conferencia válida?|Según el documento Procedimiento de Conferencias Online. Se debe agregar al informe el Link de Invitación a la conferencia y el link donde fue grabada la conferencia en Youtube.
¿Quién firmará el informe de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. Para agilizar el proceso, el informe de la conferencia solo será firmado por el coordinador DTT.
¿Qué información debe agregarse al encabezado de la página donde se solicita la firma del coordinador DTT en el informe de la conferencia?|Según el documento Procedimiento de Conferencias Online. En el encabezado de la página donde se solicita la firma del coordinador DTT, se debe agregar el carnet, nombre, curso, semestre y año del practicante.
¿Cuándo se pueden subir los documentos (carta de conferencia, informe de conferencia) a DTT?|Según el documento Procedimiento de Conferencias Online. Los documentos pueden subirse a DTT una vez que el coordinador DTT los haya firmado y escaneado. Sin embargo, no se recibirán documentos para firma DTT tres días antes de su vencimiento de subida en DTT.
¿Qué se necesita para poder dar un diploma a los conferencistas durante la situación actual de la pandemia?|Según el documento Procedimiento de Conferencias Online. Para poder dar un diploma a los conferencistas, es obligatorio tener una copia del vídeo de la conferencia, en el que el conferencista indique la fecha y hora en que inicia su conferencia, el tema de la conferencia y el curso al que está apoyando, e indique USAC.
¿Cuántos asistentes deben tener las conferencias?|Según el documento Procedimiento de Conferencias Online. Las conferencias deben tener un mínimo de 10 asistentes, a excepción de los cursos que tengan menos de 10 alumnos de matrícula estudiantil.
¿Donde puedo encontrar el documento Procedimiento de Conferencias Online?|Lo puedes encontrar en: ''https://drive.google.com/file/d/11lXN9CbzHADMKPBACACc-d32P1KR4NnV/view?usp=sharing''
