Pregunta|Respuesta
¿Cuál es el procedimiento que sigue el personal 104 durante las auditorías de asistencia de laboratorios?|Según el documento anual DSI-104.El personal 104 procede a ingresar a la sesión para tomar la asistencia de inicio de laboratorio en los primeros 5 minutos, y entre los minutos 80 al 90 se ingresa para verificar la asistencia de salida de laboratorio.
¿Cómo se calcula la asistencia durante las auditorías de laboratorio?|Según el documento anual DSI-104.Se calcula sumando las dos marcas de auditoría, las cuales corresponden al inicio y final del laboratorio. Si ambas marcas suman el 100% de la asistencia, se considera completa. En caso de fallo en alguna de las marcas, se penaliza con el 50%.
¿Qué sucede si una actividad no tiene métrica dentro del DTT?|Según el documento anual DSI-104.Las actividades sin métrica no pueden considerarse como actividades planificadas dentro de DTT, ya que son actividades insertadas durante el periodo de ingreso del reporte, por lo tanto, no se tomarían en cuenta en las auditorías de asistencia de laboratorios.
¿Cuál es la importancia de tener en cuenta los Asuetos Oficiales dentro de las actividades planificadas en el portal DTT?|Según el documento anual DSI-104.Es importante considerar los Asuetos Oficiales para evitar que afecten el contenido del laboratorio y garantizar la continuidad de las actividades planificadas.
¿Qué se debe hacer cada semana en relación con los casos que presenten problemas de entrada o salida?|Según el documento anual DSI-104.Cada semana se debe reportar a través de un correo al coordinador DTT todos los casos que presenten algún tipo de problema tanto en la entrada como en la salida, con copia a los practicantes responsables de dichas faltas.
¿Cómo se notifica la entrega de los formularios de entregables y qué hacer si no se recibe la confirmación?|Según el documento anual DSI-104.Los formularios de entregables tienen implementado el sistema de notificación por correo. Si no se recibe la confirmación, se debe documentar con capturas de pantalla y notificar al correo del DSI 104, además de seguir intentando enviar el entregable.
¿Qué se debe hacer si se realizan calificaciones o actividades que exceden el tiempo total del laboratorio?|Según el documento anual DSI-104.Se debe detener la grabación y, al obtener el enlace de la grabación, ingresarlo en el formulario correspondiente. El resto de la actividad grabada debe entregarse por correo al DSI. No hacerlo será considerado como una falta.
¿Qué hacer si la grabación no está disponible para ser visualizada pero se tiene el enlace de la grabación?|Según el documento anual DSI-104.Si la grabación no está disponible para su visualización pero se posee el enlace, se debe entregar ese enlace. No se aceptará como justificación el hecho de que el vídeo no esté disponible.
¿Qué debe hacerse si se detectan casos con problemas tanto de entrada como de salida?|Según el documento anual DSI-104.Cada semana se debe reportar a través de un correo al coordinador DTT todos los casos que se encuentren con algún tipo de problema tanto de entrada como de salida, con copia a los practicantes que cometieron dichas faltas.
¿Qué sucede si no se recibe confirmación después de enviar un formulario de entregable?|Según el documento anual DSI-104.Si no se recibe confirmación después de enviar un formulario de entregable, se debe documentar con capturas de pantalla y notificar al correo del DSI 104, además de seguir intentando enviar el entregable.
¿Qué acción se debe tomar si se realizan calificaciones o actividades que sobrepasan el tiempo total del laboratorio?|Según el documento anual DSI-104.Si se realizan calificaciones o actividades que sobrepasan el tiempo total del laboratorio, se debe detener la grabación y al obtener el enlace de la grabación, ingresarlo al formulario correspondiente. El resto de la actividad grabada debe entregarse por medio del correo del DSI.
¿Cuál es el protocolo si la grabación aún no está disponible para ser visualizada pero se posee el enlace de la grabación?|Según el documento anual DSI-104.Si la grabación aún no se encuentra disponible para ser visualizada pero se tiene el enlace de la grabación, se debe entregar ese enlace. No se aceptará como justificación que el vídeo no esté disponible para su visualización.
¿Qué se requiere para justificar la asistencia en cursos semipresenciales sin laboratorio?|Según el documento anual DSI-104.Para justificar la asistencia en cursos semipresenciales sin laboratorio, se deben enviar tres entregables al formulario de asistencia correspondiente durante el primer periodo del curso.
¿Cuáles son los entregables necesarios para justificar la asistencia en cursos semipresenciales sin laboratorio?|Según el documento anual DSI-104.Los entregables necesarios son: una foto en modo selfie identificando el salón y los estudiantes, una foto en modo selfie identificando al catedrático del curso, y una foto que muestre la fecha actual.
¿Qué sucede si el tutor no puede realizar la entrega de los entregables de asistencia debido a una falla de internet?|Según el documento anual DSI-104.En caso de que el tutor no pueda realizar la entrega debido a una falla de internet, el catedrático del curso debe firmar el documento de ''Control de Asistencia'' y el tutor debe subirlo al enlace de asistencia correspondiente antes de las 23:59 del día del curso.
¿Cuál es el documento que el catedrático debe firmar en caso de una falla de internet del tutor?|Según el documento anual DSI-104.El documento que el catedrático debe firmar en caso de una falla de internet del tutor es el ''Control de Asistencia''.
¿Qué sucede si un estudiante no envía los entregables de asistencia correctamente?|Según el documento anual DSI-104.Si un estudiante no envía los entregables de asistencia correctamente, su asistencia no será tomada en cuenta.
¿Cuál es el propósito de mostrar la presentación de la actividad realizada en caso de una inactividad prolongada?|Según el documento anual DSI-104.El propósito es justificar la realización de la actividad durante un período prolongado de inactividad.
¿Cuál es el límite de tiempo para enviar el documento de ''Control de Asistencia'' en caso de una falla de internet del tutor?|Según el documento anual DSI-104.El límite de tiempo es antes de las 23:59 del día del curso.
¿Qué sucede si un estudiante envía los entregables de asistencia después del primer periodo del curso?|Según el documento anual DSI-104.Los entregables solo serán válidos si se envían durante el primer periodo del curso.
¿Qué ocurre si un estudiante no envía el documento de ''Control de Asistencia'' firmado por el catedrático en caso de una falla de internet del tutor?|Según el documento anual DSI-104.Si no se envía el documento firmado por el catedrático, la asistencia no será tomada en cuenta.
¿Cuál es el procedimiento para enviar los entregables de asistencia en cursos sin laboratorio en modalidad semipresencial?|Según el documento anual DSI-104.Los entregables deben enviarse al formulario de asistencia correspondiente durante el primer periodo del curso.
¿Qué debe contener la foto en modo selfie que identifique al catedrático del curso?|Según el documento anual DSI-104.La foto debe mostrar claramente al catedrático del curso.
¿Por qué es importante enviar los entregables de asistencia durante el primer periodo del curso?|Según el documento anual DSI-104.Es importante enviarlos durante este periodo para que sean válidos y se registre correctamente la asistencia.
¿Qué sucede si un estudiante no justifica su asistencia de acuerdo a los requerimientos establecidos?|Según el documento anual DSI-104.Si un estudiante no justifica su asistencia correctamente, esta no será tomada en cuenta.
¿Quién debe subir el documento de ''Control de Asistencia'' en caso de una falla de internet del tutor?|Según el documento anual DSI-104.El tutor debe subir el documento de ''Control de Asistencia'' en caso de una falla de internet.
¿Qué se considera una inactividad prolongada que requiere mostrar la presentación de la actividad realizada?|Según el documento anual DSI-104.Se considera inactividad prolongada cuando hay un período prolongado sin actividad o participación en el curso.
¿Cuáles son las responsabilidades del tutor académico para garantizar el acceso a los videos publicados para el equipo 104?|Según el documento anual DSI-104.Las responsabilidades del tutor incluyen garantizar el acceso a los videos publicados con permisos públicos para que el equipo 104 pueda visualizarlos.
¿Qué debe hacer el tutor académico si no tiene la opción de grabación en su sala de Meet durante el laboratorio?|Según el documento anual DSI-104.En caso de que el tutor no tenga la opción de grabación en su sala de Meet, debe utilizar una herramienta externa para garantizar su asistencia.
¿Qué debe hacer el tutor para asegurar que el equipo 104 pueda realizar la asistencia de entrada y salida en el salón Meet durante el horario de laboratorio?|Según el documento anual DSI-104.El tutor debe garantizar el acceso al equipo 104 para realizar la asistencia de entrada y salida en el salón Meet durante el horario de laboratorio.
¿Cuál es la responsabilidad del tutor respecto a los links de Meet de los laboratorios?|Según el documento anual DSI-104.El tutor debe asegurar que los links de Meet de los laboratorios sean los correctos.
¿Qué debe garantizar el tutor respecto al espacio en horario de laboratorio?|Según el documento anual DSI-104.El tutor debe garantizar el espacio en horario de laboratorio para realizar las evaluaciones de desempeño que se practican a cada uno de los tutores académicos por parte del equipo 104.
¿Qué debe hacer el tutor en caso de fallas técnicas durante su horario de laboratorio?|Según el documento anual DSI-104.El tutor debe informar sobre las fallas técnicas, como problemas de fluido eléctrico o de internet, y tomar medidas como tomar fotos o videos de evidencia y comunicarse con el coordinador de práctica.
¿Cuál es la responsabilidad del tutor en cursos con varias secciones?|Según el documento anual DSI-104.El tutor debe coordinar y realizar reuniones previas con otros tutores del curso para resolver dudas y evitar desconocimiento ante los estudiantes.
¿Qué debe hacer el tutor en caso de problemas de salud propia o de un familiar durante su horario de laboratorio?|Según el documento anual DSI-104.El tutor debe comunicarse con el coordinador de práctica antes de impartir su laboratorio para evaluar el caso y asegurar documentos de respaldo, como constancias médicas o fotos en el hospital.
¿Cuál es el procedimiento en caso de fallo de fluido eléctrico?|Según el documento anual DSI-104.En caso de fallo de fluido eléctrico, el tutor debe tomar fotos de evidencia, como la carga de la laptop o el equipo de escritorio apagado, y, si es notificado con anterioridad, adjuntar un documento donde la empresa informe sobre la falta de energía eléctrica en un sector.
¿Cómo se deben informar los casos de gravedad de salud, fallos de internet o fallo de fluido eléctrico?|Según el documento anual DSI-104.Estos casos deben ser informados de inmediato vía telefónica (llamada o whatsapp) al coordinador DTT al número 57236391.
¿Qué sucede si el tutor no cumple con coordinar reuniones previas en cursos con varias secciones?|Según el documento anual DSI-104.Si el tutor no cumple con coordinar reuniones previas en cursos con varias secciones, su falta será evaluada y penalizada según lo establecido.
¿Cuál es el procedimiento para entregar las grabaciones de laboratorio?|Según el documento anual DSI-104.Debe habilitarse un formulario por día para la entrega de la grabación del laboratorio, y debe enviarse el mismo día que se imparte el laboratorio para que sea tomado en cuenta, antes de la hora límite de cierre a las 11:59 pm.
¿Qué información se debe incluir al enviar la grabación del laboratorio?|Según el documento anual DSI-104.Se debe enviar el link del video, el link del Meet utilizado y el número de carnet del estudiante.
¿Cuál es la duración mínima que deben tener los videos de grabación de laboratorio?|Según el documento anual DSI-104.Los videos deben tener una duración mínima de 90 minutos para asegurar el 100% de efectividad.
¿Cuál es el propósito de revisar cada uno de los laboratorios impartidos?|Según el documento anual DSI-104.El propósito es evaluar la efectividad de cada laboratorio impartido.
¿Cuál es el plazo límite para enviar las grabaciones de laboratorio?|Según el documento anual DSI-104.El plazo límite es antes de las 11:59 pm del mismo día en que se imparte el laboratorio.
¿Qué sucede si no se envía la grabación del laboratorio el mismo día que se imparte?|Según el documento anual DSI-104.Si no se envía la grabación del laboratorio el mismo día que se imparte, no será tomada en cuenta.
¿Cuál es el horario límite para enviar las grabaciones?|Según el documento anual DSI-104.El horario límite es a las 11:59 pm.
¿Qué se entiende por ''efectividad'' en este contexto?|Según el documento anual DSI-104.La ''efectividad'' se refiere a la calidad y el cumplimiento de los objetivos del laboratorio.
¿Quién revisa las grabaciones de laboratorio?|Según el documento anual DSI-104.Cada uno de los laboratorios impartidos será revisado para evaluar su efectividad.
¿Cómo se determina si un laboratorio es reprobado debido a su efectividad?|Según el documento anual DSI-104.Un laboratorio se considera reprobado si tiene menos del 80% de efectividad. Para calcular la nota de asistencia en este caso, se utiliza la fórmula: Nota_asistencia = (Tiempo_efectivo * 100) / 90, donde Tiempo_efectivo es igual a Total_tiempo_video menos Tiempo_no_efectivo_detectado.
¿Qué se debe hacer con el link del vídeo de la sesión?|Según el documento anual DSI-104.El link del vídeo debe ser enviado con permisos públicos para su revisión.
¿Qué deben hacer los tutores con laboratorio y los tutores sin laboratorio para grabar sus sesiones si no tienen la opción de grabación en sus salas de Meet?|Según el documento anual DSI-104.Tanto los tutores con laboratorio como los tutores sin laboratorio deben utilizar una herramienta externa, como OBS o Camtasia, para grabar la sesión. Esta grabación debe ser independiente de la grabación del ingeniero que imparte la clase.
¿Cómo se determina el tiempo efectivo para los tutores que no imparten laboratorio?|Según el documento anual DSI-104.Para los tutores que no imparten laboratorio, el tiempo efectivo se basa en el tiempo total impartido por el docente. Si la duración de la clase es menor a 71 minutos, obtendrán una nota mínima correspondiente al 80% de efectividad.
¿Cuántas faltas justificadas pueden tener los tutores según las normas establecidas?|Según el documento anual DSI-104.Los tutores pueden tener una sola falta justificada durante el semestre.
¿Qué actividad debe realizarse durante la grabación para garantizar que los alumnos están conectados?|Según el documento anual DSI-104.Durante la grabación, se debe visualizar la pantalla de Meet con la opción de participantes activa.
¿Cuál es el límite de duración para los elementos audiovisuales que un tutor puede presentar en su clase?|Según el documento anual DSI-104.Los elementos audiovisuales, como videos educativos, deben tener una duración menor a 10 minutos.
¿Qué sucede si un elemento audiovisual excede los 10 minutos de duración durante la clase?|Según el documento anual DSI-104.Si un elemento audiovisual excede los 10 minutos de duración, el tiempo restante no se tomará como efectivo de la grabación.
¿Cuál es la consecuencia para un tutor que acumule tres casos donde sus videos no tengan acceso público para la evaluación?|Según el documento anual DSI-104.Si un tutor acumula tres casos sin acceso público a la grabación, se penalizará una asistencia.
¿Cuál es el proceso para justificar una falta laboral como tutor?|Según el documento anual DSI-104.Para justificar una falta laboral, el tutor debe ingresarla dentro de la plataforma DTT y ser evaluada por el coordinador, con la respectiva justificación firmada por el jefe inmediato.
¿Qué sucede si un tutor realiza una actividad durante la grabación para garantizar la conexión de los alumnos?|Según el documento anual DSI-104.Si durante la grabación el tutor realiza una actividad como una hoja de trabajo, resolución de dudas o exámenes cortos, se debe visualizar la pantalla de Meet con la opción de participantes activa.
¿Cómo se penaliza a un tutor que acumula tres casos donde sus videos no están disponibles para la evaluación?|Según el documento anual DSI-104.Si un tutor acumula tres casos sin acceso público a la grabación, se penalizará una asistencia según las normas establecidas.
¿Qué debe hacer un usuario si al momento de hacer la entrega en el formulario aún no se ha terminado de procesar el video?|Según el documento anual DSI-104.El usuario debe entregar el link del video para su posterior auditoría y notificar por correo al equipo DSI 104 sobre su situación.
¿Cuáles son los pasos a seguir si hay inconvenientes con la generación incorrecta de la grabación de laboratorio en Google Drive?|Según el documento anual DSI-104.El usuario debe enviar una captura de pantalla del correo enviado por Google Drive mostrando el estado de la grabación, otra captura de pantalla con el correo que muestra la grabación ya procesada, y adjuntar el link de la grabación.
¿Qué medidas se deben tomar al momento de realizar una entrega para evitar penalizaciones?|Según el documento anual DSI-104.Se debe verificar que toda la información enviada sea correcta. En caso contrario, se podrían aplicar penalizaciones como el envío reiterado de datos incorrectos en el formulario o enviar una carpeta de Google Drive en lugar de la grabación de laboratorio correspondiente.
¿Qué acciones debe tomar un usuario si al realizar una entrega encuentra que algunos datos son incorrectos?|Según el documento anual DSI-104.El usuario debe corregir los datos incorrectos antes de enviar el formulario para evitar penalizaciones.
¿Qué consecuencias puede enfrentar un usuario si envía reiteradamente datos incorrectos en el formulario?|Según el documento anual DSI-104.El usuario puede enfrentar penalizaciones por enviar datos incorrectos en el formulario de manera repetida.
¿Qué medidas se deben tomar al realizar una entrega para asegurarse de que todos los datos sean correctos?|Según el documento anual DSI-104.Se debe verificar minuciosamente la información enviada antes de completar y enviar el formulario.
¿Cuál es la importancia de notificar al equipo DSI 104 si aún no se ha terminado de procesar un video al momento de la entrega?|Según el documento anual DSI-104.Notificar al equipo DSI 104 es importante para informarles sobre la situación y garantizar que puedan realizar una auditoría posterior del video una vez procesado.
¿Cuál es el propósito del formulario para hojas de calificación de prácticas y/o proyectos?|Según el documento anual DSI-104.El formulario se utiliza para evaluar prácticas y/o proyectos durante todo el semestre.
¿Quiénes son los destinatarios del formulario de hojas de calificación?|Según el documento anual DSI-104.El formulario se aplica únicamente para tutores que imparten laboratorio.
¿Qué sucede si se concede una prórroga que afecta las fechas de calificación ya calendarizadas?|Según el documento anual DSI-104.Se debe volver a llenar el formulario y enviar un correo al DSI para notificar el cambio.
¿Cuándo se deben enviar las hojas de calificación?|Según el documento anual DSI-104.Las hojas se deben enviar 3 días antes de que se realice la calificación.
¿Qué requisito debe cumplir una hoja de calificación para obtener una nota completa?|Según el documento anual DSI-104.Debe estar aprobada por el catedrático del curso, adjuntando una captura donde se observe su aprobación. Si aún no está aprobada al momento de llenar el formulario, se puede subir de todas formas, incluyendo una captura donde se notifique al catedrático acerca de la hoja de calificación, y se debe agregar un comentario indicando que aún no está aprobada. Una vez aprobada, se debe notificar al correo de DSI para evitar que la nota sea afectada.
¿Cuál es la modalidad de entrega de las hojas de calificación?|Según el documento anual DSI-104.La entrega es individual.
¿Qué sucede si una hoja de calificación no está aprobada por el catedrático al momento de llenar el formulario?|Según el documento anual DSI-104.Se puede subir de todas formas, adjuntando una captura donde se notifique al catedrático acerca de la hoja de calificación, y se debe agregar un comentario indicando que aún no está aprobada.
¿Quiénes deben notificar al correo de DSI una vez que una hoja de calificación ha sido aprobada?|Según el documento anual DSI-104.Se debe notificar al correo de DSI para evitar que la nota sea afectada.
¿Cuál es el propósito de las reuniones que pueden agendar los tutores con el coordinador del DTT y el equipo del DSI?|Según el documento anual DSI-104.El propósito de estas reuniones es exponer los inconvenientes que los tutores académicos puedan tener en la realización de sus labores, como casos de plagio encontrados o situaciones personales que puedan afectar su desempeño.
¿Cuántas reuniones pueden agendar los tutores por semestre?|Según el documento anual DSI-104.Los tutores pueden agendar hasta 3 reuniones por semestre con el coordinador del DTT y el equipo del DSI.
¿Qué tipo de inconvenientes pueden ser discutidos durante estas reuniones?|Según el documento anual DSI-104.Durante estas reuniones, los tutores pueden discutir cualquier problema que estén enfrentando en sus labores académicas, como casos de plagio, situaciones personales que afecten su desempeño o cualquier otro obstáculo relevante.
¿Quiénes pueden participar en estas reuniones?|Según el documento anual DSI-104.En estas reuniones pueden participar los tutores académicos, el coordinador del DTT y el equipo del DSI.
¿Qué acciones se toman después de estas reuniones?|Según el documento anual DSI-104.Después de estas reuniones, se pueden implementar acciones correctivas o medidas de apoyo para abordar los inconvenientes discutidos y garantizar un mejor desempeño de los tutores académicos en sus labores.
¿Cuál es el objetivo principal de que los tutores puedan agendar estas reuniones?|Según el documento anual DSI-104.El objetivo principal es permitir que los tutores académicos expongan cualquier inconveniente que estén enfrentando en sus labores y recibir apoyo o soluciones por parte del coordinador del DTT y el equipo del DSI.
¿Qué tipo de situaciones personales podrían ser discutidas durante estas reuniones?|Según el documento anual DSI-104.Durante estas reuniones, los tutores podrían discutir situaciones personales que puedan afectar su desempeño, como problemas de salud, dificultades familiares o cualquier otra circunstancia que interfiera con su trabajo como tutores académicos.
¿Cómo se determina la relevancia de los inconvenientes que se presentan durante estas reuniones?|Según el documento anual DSI-104.La relevancia de los inconvenientes se determina según su impacto en las labores de los tutores académicos y en el funcionamiento general del programa de tutoría.
¿Qué recursos o apoyo pueden ofrecer el coordinador del DTT y el equipo del DSI durante estas reuniones?|Según el documento anual DSI-104.Durante estas reuniones, el coordinador del DTT y el equipo del DSI pueden ofrecer recursos adicionales, asesoramiento, capacitación o cualquier otro tipo de apoyo necesario para abordar los inconvenientes presentados por los tutores académicos.
¿Cómo se garantiza la confidencialidad de la información discutida durante estas reuniones?|Según el documento anual DSI-104.La confidencialidad de la información discutida durante estas reuniones se garantiza mediante políticas internas y protocolos de privacidad establecidos por la institución educativa.
¿Cuáles son los medios de acceso rápido para ingresar a formularios?|Según el documento anual DSI-104.Los medios de acceso rápido son mediante el enlace directo proporcionado o a través de la plataforma DTT, siguiendo la ruta: Menú Ayuda > Enlaces > Ingreso asistencia laboratorios y foros Mod-virtual.
¿Qué enlace debo utilizar para acceder a los vídeos de asistencia de laboratorios?|Según el documento anual DSI-104.Puedes acceder a los vídeos de asistencia de laboratorios a través del enlace directo: https://dsifiusac.wixsite.com/tutores o mediante la plataforma DTT, siguiendo la ruta mencionada anteriormente.
¿Cómo puedo acceder al enlace de asistencia de laboratorios desde la plataforma DTT?|Según el documento anual DSI-104.Desde la sesión como tutor académico en la plataforma DTT, dirígete al Menú Ayuda, luego selecciona la opción Enlaces y finalmente elige Ingreso asistencia laboratorios y foros Mod-virtual.
¿Qué opciones tengo para acceder a los vídeos de asistencia de laboratorios?|Según el documento anual DSI-104.Tienes dos opciones: usar el enlace directo proporcionado o ingresar a la plataforma DTT como tutor académico y seguir la ruta mencionada en la pregunta anterior.
¿Dónde puedo encontrar el enlace de asistencia de laboratorios si estoy en la plataforma DTT?|Según el documento anual DSI-104.El enlace de asistencia de laboratorios se encuentra en el Menú Ayuda de la plataforma DTT, bajo la sección de Enlaces, específicamente en la opción de Ingreso asistencia laboratorios y foros Mod-virtual.
¿Qué debo hacer si quiero acceder rápidamente al formulario?|Según el documento anual DSI-104.Puedes acceder rápidamente al formulario utilizando el enlace directo proporcionado o accediendo a la plataforma DTT como tutor académico y siguiendo la ruta mencionada para ingresar a la asistencia de laboratorios.
¿En qué parte de la plataforma DTT puedo encontrar el acceso a los vídeos de asistencia?|Según el documento anual DSI-104.Los vídeos de asistencia se encuentran en la sección de Ayuda de la plataforma DTT, específicamente en la opción de Enlaces, bajo el título de Ingreso asistencia laboratorios y foros Mod-virtual.
¿Cuál es la forma más rápida de acceder a los recursos de asistencia de laboratorios?|Según el documento anual DSI-104.La forma más rápida es utilizando el enlace directo proporcionado o accediendo a la plataforma DTT como tutor académico y siguiendo la ruta mencionada en las respuestas anteriores.
¿Cuál es la ponderación de la asistencia a laboratorios en el curso DSI 104?|Según el documento anual DSI-104.La asistencia a laboratorios en el curso DSI 104 representa el 70% de la calificación total.
¿Qué criterio se utiliza para validar la asistencia a los laboratorios en el curso DSI 104?|Según el documento anual DSI-104.La asistencia a los laboratorios se valida utilizando el concepto de tiempo efectivo según el Manual 104.
¿Qué porcentaje de la calificación total en el curso DSI 104 se asigna a actividades administradas por el departamento (DSI 104)?|Según el documento anual DSI-104.El 30% de la calificación total se asigna a actividades administradas por el departamento (DSI 104), como evaluaciones de rendimiento, hojas de calificación, actividades extras y foros.
¿Cuál es la nota mínima requerida para aprobar el curso DSI 104?|Según el documento anual DSI-104.La nota mínima requerida para aprobar el curso DSI 104 es del 80%.
¿Cuál es el peso relativo de la asistencia a laboratorios en comparación con las actividades administradas por el departamento en el curso DSI 104?|Según el documento anual DSI-104.La asistencia a laboratorios representa el 70% de la calificación total, mientras que las actividades administradas por el departamento representan el 30%.
¿Qué aspecto específico de la asistencia a laboratorios se utiliza para validarla en el curso DSI 104?|Según el documento anual DSI-104.La asistencia a laboratorios se valida utilizando el concepto de tiempo efectivo según el Manual 104.
¿Qué tipo de actividades adicionales administradas por el departamento (DSI 104) contribuyen al 30% de la calificación total en el curso?|Según el documento anual DSI-104.Las actividades adicionales administradas por el departamento incluyen evaluaciones de rendimiento, hojas de calificación, actividades extras y foros.
¿Donde puedo encontrar el documento Manual DSI-104?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1P8Jbwqb6jl-kIDF9mo07wrhZKJmuAhxz/view?usp=sharing''
¿Donde puedo encontrar la plantilla de foros?|Lo puedes encontrar en: ''https://docs.google.com/document/d/1UfceCXQRop-HZdtcXValejupHrIrx0eqR0Ve9-k0APs/edit''
¿Donde puedo el link de entrega de foros?|Lo puedes encontrar en: ''https://dsifiusac.wixsite.com/tutores/entrega-foros''
¿Donde puedo el link del documento de control de asistencia?|Lo puedes encontrar en: ''https://docs.google.com/document/d/1iWgQsCp1oM15DBJayPuKlCz-eYem3gM7kPRPFPv3Fos/edit''
¿Donde puedo el link de entrega de grabaciones?|Lo puedes encontrar en: ''https://dsifiusac.wixsite.com/tutores/asistencia-laboratorios''
¿Donde puedo el link de entrega de hojas de calificación?|Lo puedes encontrar en: ''https://forms.gle/MbSjNZaHdFhy2138A''
¿Donde puedo el link de dsifiysac?|Lo puedes encontrar en: '' https://dsifiusac.wixsite.com/tutores''
