Pregunta|Respuesta
¿Cuál es el objetivo principal de los temas tratados en los horarios de laboratorio?|Según el documento Manual de comportamiento. El objetivo principal es brindar conocimiento a los estudiantes que sea relevante y que esté alineado con el contenido del curso.
¿Cómo debe utilizarse el contenido del laboratorio según el manual de comportamiento?|Según el documento Manual de comportamiento. El contenido del laboratorio debe utilizarse correctamente, desarrollando los ejemplos necesarios para que los estudiantes comprendan todos los temas.
¿Cuál es el objetivo de desarrollar ejemplos en el laboratorio?|Según el documento Manual de comportamiento. El objetivo es asegurar que los estudiantes comprendan todos los temas tratados en el laboratorio.
¿Qué se debe hacer para que los estudiantes comprendan todos los temas del laboratorio?|Según el documento Manual de comportamiento. Se deben desarrollar ejemplos necesarios que ayuden a la comprensión de los temas.
¿Qué implica el uso correcto del contenido de laboratorio?|Según el documento Manual de comportamiento. Implica desarrollar los ejemplos necesarios que permitan a los estudiantes entender completamente los temas tratados.
¿Cuál es la responsabilidad del tutor respecto a los ejemplos en el laboratorio?|Según el documento Manual de comportamiento. El tutor tiene la responsabilidad de desarrollar ejemplos que faciliten la comprensión de todos los temas por parte de los estudiantes.
¿Qué tipo de actividades deben ser planificadas en el DTT según el manual de comportamiento?|Según el documento Manual de comportamiento. Las actividades como evaluaciones, hojas de trabajo y ejercicios en laboratorio deben ser planificadas en el DTT.
¿Qué herramienta se debe utilizar para presentar actividades planificadas durante las auditorías de asistencia?|Según el documento Manual de comportamiento. Se debe utilizar una presentación compartida en pantalla para mostrar las actividades planificadas durante las auditorías de asistencia.
¿Qué información debe incluir la presentación utilizada para actividades planificadas?|Según el documento Manual de comportamiento. La presentación debe incluir el nombre de la actividad, la hora y minuto de inicio y finalización, la duración de la actividad, la cantidad de alumnos realizando la actividad, y una lista de alumnos identificados con carné, nombre y apellido.
¿Cómo se debe registrar la información de los alumnos participantes en las actividades planificadas?|Según el documento Manual de comportamiento. La información de los alumnos debe obtenerse a través del chat y pegarse en la presentación.
¿Por qué es importante utilizar una presentación durante las actividades planificadas en el laboratorio?|Según el documento Manual de comportamiento. Es importante para garantizar que las actividades sean planificadas y autorizadas, y para que las auditorías de asistencia no afecten el tiempo efectivo de las actividades.
¿Qué documento oficial se proporciona para usar en las presentaciones de actividades planificadas?|Según el documento Manual de comportamiento. Se proporciona una plantilla oficial para usar en las presentaciones de actividades planificadas.
¿Qué es necesario hacer al inicio del laboratorio para confirmar que la grabación corresponde al día indicado?|Según el documento Manual de comportamiento. Es necesario utilizar una presentación compartida en pantalla al momento de iniciar el laboratorio.
¿Cuál es el propósito de utilizar una presentación compartida en pantalla al inicio del laboratorio?|Según el documento Manual de comportamiento. El propósito es confirmar que la grabación corresponde al día indicado.
¿Qué información debe incluir la presentación utilizada al inicio del laboratorio?|Según el documento Manual de comportamiento. La presentación debe incluir la fecha, la hora y minuto de inicio del laboratorio, el nombre del curso y sección, y el nombre del tutor.
¿Por qué es importante la información de fecha y hora en la presentación inicial del laboratorio?|Según el documento Manual de comportamiento. Es importante para verificar y confirmar que la grabación corresponde al día y tiempo correctos.
¿Qué se debe mostrar en la pantalla al iniciar el laboratorio?|Según el documento Manual de comportamiento. Se debe mostrar una presentación que incluya la fecha, hora y minuto de inicio, el nombre del curso y sección, y el nombre del tutor.
¿Cómo deben dirigirse los tutores académicos a los estudiantes?|Según el documento Manual de comportamiento. Los tutores académicos deben dirigirse a los estudiantes de manera profesional, asumiendo su rol asignado por la institución.
¿Qué rol deben asumir los tutores académicos al interactuar con los estudiantes?|Según el documento Manual de comportamiento. Los tutores académicos deben asumir el rol de tutor académico asignado por la institución.
¿Qué deben separar los tutores académicos en su interacción con los estudiantes?|Según el documento Manual de comportamiento. Los tutores académicos deben separar el área laboral de lo personal en su interacción con los estudiantes.
¿Por qué es importante que los tutores mantengan un comportamiento profesional con los estudiantes?|Según el documento Manual de comportamiento. Es importante para mantener la ética y el profesionalismo en el entorno educativo, asegurando un ambiente respetuoso y adecuado para el aprendizaje.
¿Qué implica asumir el rol de tutor académico para los tutores?|Según el documento Manual de comportamiento. Implica dirigirse a los estudiantes de manera profesional, manteniendo la separación entre lo laboral y lo personal, y cumpliendo con las responsabilidades asignadas por la institución.
¿Qué tipo de actividades deben realizar los tutores académicos?|Según el documento Manual de comportamiento. Los tutores académicos deben realizar actividades correspondientes a la temática del curso y actividades autorizadas por la institución, como conferencias DTT y calificaciones.
¿Qué significa DTT en el contexto de las actividades de los tutores?|Según el documento Manual de comportamiento. DTT se refiere a las conferencias y actividades planificadas y autorizadas por la institución que los tutores deben realizar.
¿Pueden los tutores realizar actividades no autorizadas por la institución?|Según el documento Manual de comportamiento. No, los tutores solo deben realizar actividades que sean autorizadas por la institución.
¿Qué debe garantizar un tutor académico al realizar una actividad?|Según el documento Manual de comportamiento. Un tutor académico debe garantizar que la actividad corresponde a la temática del curso y que está autorizada por la institución.
¿Qué tipo de actividades específicas pueden incluir las tareas de los tutores académicos?|Según el documento Manual de comportamiento. Las tareas de los tutores académicos pueden incluir conferencias DTT y actividades de calificación.
¿Cómo se contabiliza el tiempo efectivo cuando se abren espacios para dudas al final del laboratorio?|Según el documento Manual de comportamiento. El tiempo se contabiliza como efectivo si se nota actividad e interacción entre el tutor y los alumnos. De lo contrario, se considera como tiempo no efectivo.
¿Qué debe hacer un tutor académico si una conferencia DTT termina antes del tiempo programado?|Según el documento Manual de comportamiento. El tutor debe completar la clase para no afectar su tiempo efectivo.
¿Qué sucede si no hay interacción entre el tutor y los alumnos al final de un laboratorio?|Según el documento Manual de comportamiento. El tiempo no se contabiliza como efectivo si no hay interacción entre el tutor y los alumnos.
¿Qué se entiende por tiempo efectivo en el contexto de un laboratorio?|Según el documento Manual de comportamiento. Tiempo efectivo se refiere al tiempo en que hay actividad e interacción relevante entre el tutor y los alumnos, contribuyendo al aprendizaje.
¿Cuál es la obligación del tutor académico respecto al tiempo efectivo durante las conferencias DTT?|Según el documento Manual de comportamiento. Es obligación del tutor completar el tiempo de la clase en caso de que la conferencia DTT termine antes del tiempo previsto, para asegurar que el tiempo efectivo no se vea afectado.
¿Qué se debe establecer en las actividades que requieran calificación?|Según el documento Manual de comportamiento. Se deben establecer parámetros claros de calificación y ponderación.
¿Cómo se debe planificar la establecimiento de parámetros de calificación?|Según el documento Manual de comportamiento. Se debe planificar de manera establecida en hojas de calificación avaladas por el docente.
¿Qué se garantiza al aplicar lo establecido en las actividades de calificación?|Según el documento Manual de comportamiento. Se garantiza la aplicación de lo establecido para obtener un resultado de calificación equitativa y transparente.
¿Qué se debe evitar al establecer los parámetros de calificación?|Según el documento Manual de comportamiento. Se debe evitar improvisar ante los alumnos.
¿Qué tipo de materiales son necesarios para el desarrollo del tema de laboratorio según el texto?|Según el documento Manual de comportamiento. Según el texto, se necesitan presentaciones, material de ejemplos y videos ilustrativos (preferiblemente de corta duración) para cumplir con el contenido y los tiempos establecidos por la institución.
¿Por qué se menciona que los videos deben tener tiempos cortos?|Según el documento Manual de comportamiento. Los videos deben tener tiempos cortos para mantener la atención de los alumnos y asegurar una interacción directa con ellos durante la clase de laboratorio.
¿Por qué se enfatiza en la necesidad de evitar clases grabadas?|Según el documento Manual de comportamiento. Se evitan las clases grabadas para asegurar la interacción directa con los alumnos durante el laboratorio, permitiendo así una comunicación más efectiva y la posibilidad de responder a preguntas y dudas en tiempo real.
¿Qué se busca garantizar al contar con el material adecuado?|Según el documento Manual de comportamiento. Al contar con el material adecuado, se busca cumplir con los contenidos y los tiempos establecidos para el laboratorio, asegurando así una enseñanza efectiva y una experiencia de aprendizaje óptima para los alumnos.
¿Cuál es el propósito principal de contar con presentaciones, material de ejemplos y videos ilustrativos?|Según el documento Manual de comportamiento. El propósito principal es facilitar la comprensión de los temas de laboratorio y reforzar el aprendizaje mediante diferentes recursos visuales y ejemplos prácticos.
¿Qué aspectos se deben considerar al evaluar el rendimiento de los alumnos según el texto?|Según el documento Manual de comportamiento. Se deben considerar la objetividad, la veracidad y la responsabilidad.
¿Por qué es importante evaluar el rendimiento de los alumnos de manera objetiva?|Según el documento Manual de comportamiento. La evaluación objetiva garantiza imparcialidad y justicia en el proceso de evaluación, lo que ayuda a mantener la equidad entre los estudiantes.
¿Qué significa evaluar de forma veraz el rendimiento de los alumnos?|Según el documento Manual de comportamiento. Significa proporcionar una evaluación precisa y honesta que refleje con precisión el desempeño real de los estudiantes, sin distorsiones ni sesgos.
¿Cuál es la responsabilidad del evaluador al evaluar el rendimiento de los alumnos?|Según el documento Manual de comportamiento. El evaluador tiene la responsabilidad de asegurarse de que el proceso de evaluación sea justo, transparente y beneficioso para el desarrollo académico de los estudiantes.
¿Qué podría ocurrir si la evaluación del rendimiento de los alumnos no se realiza de manera objetiva, veraz y responsable?|Según el documento Manual de comportamiento. Si la evaluación no se realiza de manera adecuada, podría conducir a resultados injustos, desmotivación de los estudiantes y una percepción negativa del sistema educativo en general.
¿Cuál es el propósito de la solución de atención a dudas a estudiantes?|Según el documento Manual de comportamiento. El propósito es proporcionar claridad y resolver las preguntas de los estudiantes en los momentos apropiados y según los procedimientos establecidos por la institución.
¿Cómo se determinan los tiempos adecuados para la atención a dudas de los estudiantes?|Según el documento Manual de comportamiento. Los tiempos adecuados son establecidos y oficializados por la institución, siguiendo sus normativas y políticas.
¿Dónde deben los estudiantes plantear sus dudas para recibir atención?|Según el documento Manual de comportamiento. Las dudas deben plantearse en los foros correspondientes, que son los canales designados por la institución para la interacción y comunicación entre estudiantes y personal educativo.
¿Qué importancia tiene la oficialización de los tiempos de atención a dudas?|Según el documento Manual de comportamiento. La oficialización garantiza que los estudiantes reciban atención en momentos consistentes y predecibles, evitando confusiones y asegurando una experiencia educativa organizada y efectiva.
¿Qué se entiende por ''foros correspondientes'' en este contexto?|Según el documento Manual de comportamiento. Los ''foros correspondientes'' se refieren a los espacios designados por la institución para la discusión y resolución de dudas relacionadas con el contenido académico, donde los estudiantes pueden interactuar con sus compañeros y profesores.
¿Qué deben garantizar todos los tutores académicos en relación con sus cámaras durante el desarrollo de un laboratorio?|Según el documento Manual de comportamiento. Todos los tutores académicos deben garantizar que sus cámaras estén encendidas durante los primeros 15 minutos de inicio y los últimos 15 minutos antes de finalizar el desarrollo del laboratorio.
¿Por qué es importante que los tutores garanticen que la imagen de su cámara esté visible en la grabación generada durante el laboratorio?|Según el documento Manual de comportamiento. Es importante para garantizar que el tutor esté presente durante el desarrollo del laboratorio, lo cual es necesario para la supervisión y la calidad de la enseñanza. Esto también ayuda a evitar justificaciones o reclamos posteriores.
¿Quién será responsable de auditar el cumplimiento de la activación de las cámaras por parte de los tutores durante los laboratorios?|Según el documento Manual de comportamiento. El Departamento de Sistemas de Información (DSI) será responsable de auditar el cumplimiento de este requisito durante el proceso de auditorías de asistencias de los laboratorios.
¿Qué pueden hacer los tutores para evitar justificaciones relacionadas con la activación de las cámaras durante los laboratorios?|Según el documento Manual de comportamiento. Los tutores pueden realizar pruebas con anterioridad para asegurarse de que la imagen de su cámara sea visible en la grabación generada, lo que ayudará a evitar justificaciones posteriores.
¿Cuándo deben estar encendidas las cámaras según las directrices para los tutores durante el desarrollo de un laboratorio?|Según el documento Manual de comportamiento. Las cámaras deben estar encendidas durante los primeros 15 minutos de inicio y los últimos 15 minutos antes de finalizar el desarrollo del laboratorio, según las directrices para los tutores.
¿Qué potestad tiene un tutor en relación con los puntos en el programa de laboratorio?|Según el documento Manual de comportamiento. Un tutor no tiene la potestad de ofrecer puntos no planificados previamente en el programa de laboratorio autorizado por el docente del curso.
¿Bajo qué circunstancias un tutor puede ofrecer puntos adicionales en un laboratorio?|Según el documento Manual de comportamiento. Un tutor solo puede ofrecer puntos adicionales en un laboratorio si están previamente autorizados por el docente o director Ecys.
¿Qué excepciones se permiten en relación con la asignación de puntos en un laboratorio?|Según el documento Manual de comportamiento. La única excepción permitida es cuando el docente o director Ecys autorizan casos específicos en el futuro.
¿Quién debe autorizar cualquier cambio en la asignación de puntos en un laboratorio?|Según el documento Manual de comportamiento. Cualquier cambio en la asignación de puntos en un laboratorio debe ser autorizado por el docente del curso o el director Ecys.
¿Cuál es la única instancia que puede aprobar casos excepcionales relacionados con la asignación de puntos en laboratorios?|Según el documento Manual de comportamiento. El docente del curso o el director Ecys son las únicas instancias que pueden aprobar casos excepcionales relacionados con la asignación de puntos en laboratorios.
¿Cuál es el objetivo principal del tutor académico en el curso asignado?|Según el documento Manual de comportamiento. El objetivo principal es garantizar que el desarrollo de las actividades conduzca a los alumnos a convertirse en futuros profesionales exitosos y aptos para contribuir al desarrollo integral del país.
¿Qué se espera lograr en los estudiantes a cargo del tutor académico?|Según el documento Manual de comportamiento. Se espera que los estudiantes se conviertan en profesionales exitosos y contribuyan al desarrollo integral del país.
¿Cuál es la importancia de mantener la reputación del estatus académico de la carrera?|Según el documento Manual de comportamiento. Mantener la reputación del estatus académico de la carrera es importante para asegurar que los estudiantes se beneficien de una educación de alta calidad y para mantener el prestigio de la institución educativa.
¿Cómo puede un tutor académico contribuir al éxito profesional de los alumnos?|Según el documento Manual de comportamiento. Un tutor académico puede contribuir al éxito profesional de los alumnos proporcionando orientación, apoyo y recursos para su desarrollo académico y profesional.
¿Por qué es relevante el desarrollo integral del país en el contexto del trabajo del tutor académico?|Según el documento Manual de comportamiento. Es relevante porque el objetivo es formar profesionales que puedan contribuir al crecimiento y desarrollo del país en diversos aspectos, desde el económico hasta el social.
¿Cuál es la responsabilidad de cada tutor durante los períodos de clase?|Según el documento Manual de comportamiento. Cada tutor debe garantizar que las actividades durante los períodos de clase no duren más de 40 minutos.
¿Qué tipos de actividades se mencionan como ejemplos que deben tener una duración limitada?|Según el documento Manual de comportamiento.  Se mencionan actividades como hojas de trabajo, exposiciones y kahoots.
¿Cuál es el límite de tiempo recomendado para las actividades durante los períodos de clase según el párrafo?|Según el documento Manual de comportamiento.  El límite de tiempo recomendado es de 40 minutos.
¿Por qué es importante limitar la duración de las actividades durante los períodos de clase?|Según el documento Manual de comportamiento. Es importante para mantener la atención y el compromiso de los estudiantes, así como para garantizar una rotación efectiva de actividades.
¿Qué pueden hacer los tutores para cumplir con esta recomendación?|Según el documento Manual de comportamiento. Los tutores pueden planificar cuidadosamente las actividades y distribuir el tiempo de manera eficiente para cumplir con el límite de 40 minutos.
¿Qué pueden hacer los tutores después de los 80 minutos en un laboratorio de DTT?|Según el documento Manual de comportamiento. Después de los 80 minutos, los tutores pueden llevar a cabo actividades no planificadas en el laboratorio de DTT dentro de su horario de trabajo.
¿Cuál es el límite de tiempo para que los tutores realicen actividades no planificadas en el laboratorio de DTT?|Según el documento Manual de comportamiento. El límite de tiempo es después de los 80 minutos.
¿Qué tipo de actividades pueden llevar a cabo los tutores después del tiempo establecido en el laboratorio de DTT?|Según el documento Manual de comportamiento. Después de los 80 minutos, los tutores pueden realizar actividades no planificadas en el laboratorio de DTT.
¿Quiénes tienen permiso para realizar actividades no planificadas en el laboratorio de DTT?|Según el documento Manual de comportamiento. Los tutores tienen permiso para realizar estas actividades después de los 80 minutos.
¿Cuándo pueden los tutores realizar actividades no planificadas en el laboratorio de DTT?|Según el documento Manual de comportamiento. Pueden hacerlo dentro de su horario de laboratorio, después de los 80 minutos.
¿Qué debe hacer un tutor si un alumno presenta una solicitud fuera de la fecha de entrega?|Según el documento Manual de comportamiento. El tutor debe pedir justificación y dar a conocer el caso al docente para su evaluación.
¿Cuál es la consecuencia para un tutor que omite el procedimiento mencionado?|Según el documento Manual de comportamiento. Se le llamará para un proceso de penalización por el incumplimiento de este numeral.
¿Quién evaluará las solicitudes de los alumnos presentadas fuera de la fecha de entrega?|Según el documento Manual de comportamiento. El tutor junto con el docente evaluarán las solicitudes.
¿Qué acción se tomará si un tutor no sigue el procedimiento establecido?|Según el documento Manual de comportamiento. Se iniciará un proceso de penalización contra el tutor.
¿Qué se debe hacer si un alumno presenta una solicitud fuera de plazo sin justificación?|Según el documento Manual de comportamiento. El tutor deberá solicitar una justificación al alumno antes de proceder con la evaluación junto con el docente.
¿Qué deben hacer los tutores en relación con el tiempo establecido en la plantilla para las actividades?|Según el documento Manual de comportamiento. Los tutores deben cumplir con el tiempo especificado en la plantilla para las actividades.
¿Qué consecuencia enfrentan los tutores si no cumplen con el tiempo establecido en la plantilla?|Según el documento Manual de comportamiento. Si un tutor no cumple con el tiempo especificado en la plantilla, se le restará el tiempo que exceda el establecido para esa actividad.
¿Qué ocurre si un tutor termina una actividad antes de que expire el tiempo establecido en la plantilla?|Según el documento Manual de comportamiento. Si un tutor completa una actividad antes de que expire el tiempo establecido en la plantilla, no se le asignará tiempo adicional para esa actividad.
¿Cómo se maneja el tiempo adicional que un tutor dedica a una actividad en comparación con lo especificado en la plantilla?|Según el documento Manual de comportamiento. El tiempo adicional que un tutor dedica a una actividad, en comparación con lo especificado en la plantilla, se resta del tiempo asignado para esa actividad.
¿Cuál es el requisito mínimo de asistencia de los alumnos para que una reposición de laboratorio sea válida?|Según el documento Manual de comportamiento. El requisito mínimo de asistencia es que al menos el 40% de los alumnos estén presentes.
¿Qué se debe hacer si se tiene una reposición de laboratorio autorizada?|Según el documento Manual de comportamiento. Se debe enviar la evidencia y el video el mismo día de la reposición en un correo al coordinador DTT con copia al DSI 104.
¿Cuándo no se tomará como válida la asistencia a una reposición de laboratorio?|Según el documento Manual de comportamiento. No se tomará como válida la asistencia si no se proporciona evidencia de la misma.
¿Cuáles son las restricciones para realizar reposiciones de laboratorio?|Según el documento Manual de comportamiento. Las restricciones son que no pueden realizarse los días domingo y que no pueden ser en el mismo horario y día del laboratorio original, debiendo reponer los dos períodos.
¿Qué procedimiento se debe seguir para recolectar evidencia durante una reposición de laboratorio?|Según el documento Manual de comportamiento. Se debe colocar la grabación en modo mosaico para visualizar a los estudiantes, programar una actividad que compruebe la asistencia en la UEDI y adjuntar screenshots de asistencia si están disponibles.
¿Qué se debe hacer si no se cuenta con evidencia de asistencia durante una reposición de laboratorio?|Según el documento Manual de comportamiento. Si no se cuenta con evidencia, la asistencia no será considerada válida.
¿Quién será citado en caso de detectarse incumplimientos del manual?|Según el documento Manual de comportamiento. Todo tutor académico que se detecte incumpliendo el manual será citado.
¿Qué proceso seguirá el tutor académico citado por incumplimiento del manual?|Según el documento Manual de comportamiento. El tutor académico citado será sometido a un proceso de seguimiento y análisis de la falta.
¿Quién será responsable de aplicar la sanción correspondiente al tutor académico que incumpla el manual?|Según el documento Manual de comportamiento. La sanción será aplicada por el coordinador del proyecto DTT.
¿Qué documentos respaldarán la aplicación de la sanción al tutor académico?|Según el documento Manual de comportamiento. La aplicación de la sanción estará respaldada por los documentos SLA, firmados por el practicante.
¿Qué se requiere obligatoriamente durante la citación del tutor académico por incumplimiento del manual?|Según el documento Manual de comportamiento. Durante la citación, es obligatorio encender la cámara.
¿Qué consecuencia enfrenta un estudiante que incumple con los numerales del reglamento en el DSI-104?|Según el documento Manual de comportamiento. El estudiante enfrentará una penalización en la nota final de la actividad ''Aplicación de procedimientos y manuales''.
¿Cuántas veces de incumplimiento son necesarias para recibir una penalización?|Según el documento Manual de comportamiento. Cada 3 veces de incumplimiento con los numerales del reglamento resultarán en una penalización.
¿Qué numerales del reglamento se deben cumplir para evitar penalizaciones?|Según el documento Manual de comportamiento. Los numerales 5, 6, 14 y el punto # del Manual DSI-104 deben cumplirse para evitar penalizaciones.
¿Cuál es la actividad específica que se ve afectada por las penalizaciones?|Según el documento Manual de comportamiento. La actividad afectada por las penalizaciones es la ''Aplicación de procedimientos y manuales''.
¿Donde puedo encontrar el documento Manual de comportamiento?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1b38Lkz1cLd2RYtGeBF8z33yTKVUf8wWo/view?usp=sharing''
¿Donde puedo encontrar la plantilla de actividades?|Lo puedes encontrar en: ''https://docs.google.com/presentation/d/1WwDEzPTArH41kgDqIJ_Na8o9JGOcRBxF/edit#slide=id.p1''
¿Donde puedo encontrar un ejemplo de la plantilla de actividades?|Lo puedes encontrar en: ''https://docs.google.com/presentation/d/1I_jopePkELocrNV8spBhB7T2Ugu97XmK/edit#slide=id.p1''
¿Donde puedo encontrar la plantilla de inicio?|Lo puedes encontrar en: ''https://drive.google.com/file/d/1U8Oo6pNpfEvYeTdGmMw5Kb8TUpTk-idb/view''
¿Donde puedo encontrar un ejemplo de la plantilla de inicio?|Lo puedes encontrar en: ''https://docs.google.com/presentation/d/1i7uTGbTvO3t0JpVRRk1sYb6t64Y3rUGm/edit#slide=id.p1''
